Feature,ANCOVA_F,Group_Coefficient,Group_p,Model_R2,Model_Adj_R2,Group_p_FDR
passive_voice_rate,1.640580698550344,-0.004235942213906278,0.03365280078416675,0.01635555497377983,0.006386185598514116,0.16826400392083374
ref_r_real,0.8173211002479669,0.025144526477923618,0.7295318622156161,0.00821560452686021,-0.001836264346178229,0.8754382346587393
mean_sentence_length,5.403031018472934,-0.010270406651456732,0.9707046265304732,0.05191742782629849,0.04230848283805155,0.9802877807007329
std_sentence_length,4.717020512715153,0.08112601823506005,0.7908485230177322,0.04562635210070054,0.035953646209829326,0.9124893092119333
syllables,4.062638042727058,-19.704821926905513,0.07766919571345683,0.03954702170154534,0.029812700975547557,0.2635069329601496
reading_time,3.8342413028393425,-0.9896293176630755,0.08117985563894405,0.037406900863551695,0.02765088972365526,0.2635069329601496
dale_chall,3.7237063990632113,-0.056184095417487145,0.5116716202242398,0.03636773934472104,0.026601196162404084,0.7255025247974252
flesch,1.0549031477784772,0.5060118015935675,0.5195781284090938,0.010578485173682761,0.0005505644153079858,0.7255025247974252
coleman_liau_index,2.0936511827280664,-0.14767992091369292,0.3804227331108265,0.020778528962735354,0.01085398702654694,0.6442635636800639
automated_readability_index,4.694594023120942,-0.08815690705876068,0.7083936137082166,0.04541927983261118,0.03574447523632007,0.867420751479449
gunning_fog,3.6229435112294035,0.011907419181624468,0.9409619179554362,0.03541848976576012,0.025642325810683375,0.9802877807007329
polarity,1.8833240118626589,-0.04509974573491328,0.021028841155099155,0.018730225623629138,0.008784923856301141,0.15464839742318212
subjectivity,1.9966179196647136,-0.01719504268143887,0.39729586426937274,0.01983461922457297,0.009900510635632909,0.6442635636800639
disfluencies,2.7759015988424696,-1.4012814709968342,0.17509564228283914,0.027364267745834336,0.01750647316217735,0.4038312337400298
cohesion_score,1.2926120490100017,-0.0016872000281786719,0.5441268935980689,0.012931386316688998,0.0029273125293581836,0.7255025247974252
personal_deixis_rate,2.3648674673637577,0.010959783087179976,0.0100412459920846,0.023407221197160877,0.01350932141199701,0.15464839742318212
spatial_deixis_rate,2.6575048106253307,-0.0017820130050214293,0.5432982456581437,0.02622774775139325,0.016358434384008746,0.7255025247974252
temporal_deixis_rate,3.376177420300618,0.0004248034518042923,0.45853738425969665,0.03308588123458445,0.02328607597682686,0.724006396199521
past_tense_rate,0.9687752643204901,-0.007780460342129321,0.18172405518301343,0.009723199351005185,-0.00031338984476159126,0.4038312337400298
present_tense_rate,0.7872396231136588,0.00879604976718524,0.2557958420073943,0.007915622950192325,-0.002139286276663821,0.5132569015046329
future_tense_rate,1.121425539126535,-0.0006209209203285398,0.32326993212300675,0.011238069736956402,0.0012168339572634634,0.570476350805306
